text,gold_label,pred_intent,correct,gold_order_status,pred_order_status,order_status_correct,gold_cancel_scope,pred_cancel_scope,cancel_scope_correct,confidence,latency_ms,error,bond_code,direction,price,amount,settle_date,source,raw_output,retries,prompt_tokens,completion_tokens,total_tokens
你好,chat,chat,1,,,,,,,0.95,5364,,,,,,,excel,"{""intent"": ""chat"", ""slots"": {""bond_code"": null, ""direction"": null, ""price"": null, ""amount"": null, ""settle_date"": null, ""order_status"": null, ""cancel_scope"": null}, ""confidence"": 0.95}",0,2974,58,3032
今天天气什么情况,chat,chat,1,,,,,,,0.95,3092,,,,,,,excel,"{""intent"": ""chat"", ""slots"": {""bond_code"": null, ""direction"": null, ""price"": null, ""amount"": null, ""settle_date"": null, ""order_status"": null, ""cancel_scope"": null}, ""confidence"": 0.95}",0,3053,58,3111
hi,chat,chat,1,,,,,,,0.95,6991,,,,,,,excel,"{""intent"": ""chat"", ""slots"": {""bond_code"": null, ""direction"": null, ""price"": null, ""amount"": null, ""settle_date"": null, ""order_status"": null, ""cancel_scope"": null}, ""confidence"": 0.95}",0,2999,58,3057
210210行情,chat,chat,1,,,,,,,0.95,3778,,210210,,,,,excel,"{""intent"": ""chat"", ""slots"": {""bond_code"": ""210210"", ""direction"": null, ""price"": null, ""amount"": null, ""settle_date"": null, ""order_status"": null, ""cancel_scope"": null}, ""confidence"": 0.95}",0,3078,64,3142
你是谁,chat,chat,1,,,,,,,0.95,6327,,,,,,,excel,"{""intent"": ""chat"", ""slots"": {""bond_code"": null, ""direction"": null, ""price"": null, ""amount"": null, ""settle_date"": null, ""order_status"": null, ""cancel_scope"": null}, ""confidence"": 0.95}",0,2977,58,3035
价格太差了,chat,chat,1,,,,,,,0.95,6446,,,,,,,excel,"{""intent"": ""chat"", ""slots"": {""bond_code"": null, ""direction"": null, ""price"": null, ""amount"": null, ""settle_date"": null, ""order_status"": null, ""cancel_scope"": null}, ""confidence"": 0.95}",0,3023,58,3081
介绍一下自己,chat,chat,1,,,,,,,0.95,5093,,,,,,,excel,"{""intent"": ""chat"", ""slots"": {""bond_code"": null, ""direction"": null, ""price"": null, ""amount"": null, ""settle_date"": null, ""order_status"": null, ""cancel_scope"": null}, ""confidence"": 0.95}",0,2974,58,3032
你用了多少加减点,chat,chat,1,,,,,,,0.95,5302,,,,,,,excel,"{""intent"": ""chat"", ""slots"": {""bond_code"": null, ""direction"": null, ""price"": null, ""amount"": null, ""settle_date"": null, ""order_status"": null, ""cancel_scope"": null}, ""confidence"": 0.95}",0,3029,58,3087
做一个自我介绍,chat,chat,1,,,,,,,0.95,5805,,,,,,,excel,"{""intent"": ""chat"", ""slots"": {""bond_code"": null, ""direction"": null, ""price"": null, ""amount"": null, ""settle_date"": null, ""order_status"": null, ""cancel_scope"": null}, ""confidence"": 0.95}",0,2983,58,3041
你们手续费是多少,chat,chat,1,,,,,,,0.95,3962,,,,,,,excel,"{""intent"": ""chat"", ""slots"": {""bond_code"": null, ""direction"": null, ""price"": null, ""amount"": null, ""settle_date"": null, ""order_status"": null, ""cancel_scope"": null}, ""confidence"": 0.95}",0,3001,58,3059
